Restaurant Name,Area,Address,Rating,Number Of Votes,Cuisines,Cost For Two,Hours,Phone No
"Flechazo
                                    ",Gachibowli," B, First Floor, Tirumala Platinum, Gachibowli Flyover, Janardhana Hills, P Janardhan Reddy Nagar, Gachibowli, Hyderabad","
                                        4.9
                                    ",[],,"₹1,300","
                                    11:30am – 4:30pm, 6:30pm – 11pm (Mon-Sun)
                                                                    ",040 71327140
"B-Dubs
                                    ",Jubilee Hills," Plot 806, Axis Tower, Road Number 36, Jubilee Hills, Hyderabad","
                                        4.9
                                    ",[],,"₹1,600","
                                    11am – 11:30pm (Mon, Tue, Wed, Thu, Sun), 11am –...
                                                                    ","+91 7510123456, +91 9920874632"
"AB's - Absolute Barbecues
                                    ",Banjara Hills," 8-2-618/10-11, 2nd Floor, Krishe Amethyst, Road 1, Banjara Hills, Hyderabad","
                                        4.9
                                    ",[],,"₹1,500","
                                    12noon – 4:30pm, 6:30pm – 12midnight (Mon-Sun)
                                                                    ",+91 8886760222
"Chili's American Grill & Bar
                                    ",Banjara Hills," Flat 48, Ground Floor, Opposite Vengal Rao Park, Road 1, Banjara Hills, Hyderabad","
                                        4.9
                                    ",[],,"₹1,400","
                                    12noon – 11pm (Mon-Sun)
                                                                    ","040 40164353, +91 9951700248"
"Churrolto
                                    ",Film Nagar," Film Nagar Main Road, In Front Of Indian Oil, Film Nagar, Hyderabad","
                                        4.9
                                    ",[],,"₹1,200","
                                    12noon – 10:30pm (Mon, Tue, Wed, Fri, Sat, Sun)...
                                                                    ","+91 9701171768, +91 9160479955"
"Natural Ice Cream
                                    ",Jubilee Hills," Aditya Jayrag, Road 36 & 37, Opposite Neeru’s Emporia, Jubilee Hills, Hyderabad","
                                        4.9
                                    ",[],,₹200,"
                                    11am – 12midnight (Mon-Sun)
                                                                    ","040 32933283, +91 8374635731"
"Euphoria
                                    ",Sainikpuri," Plot 783, Defence Colony, Sainikpuri, Secunderabad","
                                        4.9
                                    ",[],,₹500,"
                                    Closed (Mon),8am – 9pm (Tue-Sun)
                                                                    ",040 66588206
"Feranoz Pâtisserie & Cafè
                                    ",Banjara Hills," 8-2-542/V/8, Road 7, Banjara Hills, Hyderabad","
                                        4.9
                                    ",[],,₹600,"
                                    12noon – 9:30pm (Mon-Sun)
                                                                    ",040 71327134
"Trio- La Patisserie
                                    ",Bowenpally," Plot 27, Cardmaster Enclave, Akbar Road, Tar Bund, Bowenpally, Secunderabad","
                                        4.9
                                    ",[],,₹150,"
                                    10am – 9pm (Mon-Sun)
                                                                    ","+91 9700023456, +91 9666216098"
"Sahib’s Barbeque by Ohri’s
                                    ",Hitech City," Ohris Cyber Grub, Plot 4/1 & 4/2, 64, Huda Techno Enclave, Mind Space Centre, Madhapur","
                                        4.8
                                    ",[],,"₹1,400","
                                    12noon – 2:45pm, 7pm – 11:30pm (Mon-Sun)
                                                                    ",+91 9014200400
"The Roastery Coffee House
                                    ",Banjara Hills," 8/2/287/12, House 418, Road 14, Banjara Hills, Hyderabad","
                                        4.8
                                    ",[],,₹800,"
                                    8am – 11:30pm (Mon-Sun)
                                                                    ","+91 6309590610, +91 9505263320"
"Conçu
                                    ",Jubilee Hills," Plot no 738, Road no. 37, Jubilee Hills, Hyderabad","
                                        4.8
                                    ",[],,₹600,"
                                    12noon – 11pm (Mon-Sun)
                                                                    ","+91 9985800031, 00 4023606708"
"Over The Moon Brew Company
                                    ",Gachibowli," Plot B 2, Survey  6/1, Quiet Lands, Gachibowli, Hyderabad","
                                        4.7
                                    ",[],,"₹1,200","
                                    12noon – 11pm (Mon, Tue, Wed, Thu, Sun), 12noon...
                                                                    ","+91 9100623334, +91 9100623335"
"Barbeque Pride
                                    ",Jubilee Hills," 790, Rangoli Building, Road 36, Jubilee Hills, Hyderabad","
                                        4.7
                                    ",[],,"₹1,500","
                                    11:30am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)
                                                                    ","+91 9948966664, +91 9948966665"
"Farzi Cafe
                                    ",Jubilee Hills," 1200, Road 59, Jubilee Hills, Hyderabad","
                                        4.7
                                    ",[],,"₹1,800","
                                    12noon – 11pm (Mon, Tue, Wed, Thu, Sun), 12noon...
                                                                    ","040 23108888, 040 23109999"
